question,concept,weight,high_omission,low_omission,omission_gap,weighted_gap
Retirement,diversified_investing,1.0,0.111,0.796,0.685,0.685
Tax,capital_gains,1.0,0.056,0.741,0.685,0.685
Retirement,contribution_limits_specifics,1.0,0.204,0.87,0.667,0.667
EmergencyFund,three_six_months,1.0,0.019,0.481,0.463,0.463
Investing,tax_advantaged_priority,1.0,0.167,0.574,0.407,0.407
CreditDebt,credit_score_impact,1.0,0.111,0.463,0.352,0.352
Investing,risk_tolerance,1.0,0.519,0.759,0.241,0.241
EmergencyFund,base_on_expenses,1.0,0.074,0.315,0.241,0.241
EmergencyFund,automate_savings,1.0,0.148,0.296,0.148,0.148
Retirement,compounding_longterm,1.0,0.444,0.593,0.148,0.148
Insurance,coverage_amount_recommendation,1.0,0.278,0.407,0.13,0.13
Investing,account_type,1.0,0.037,0.167,0.13,0.13
Tax,tax_advantaged_retirement,1.0,0.0,0.13,0.13,0.13
Tax,deductions,1.0,0.037,0.13,0.093,0.093
CreditDebt,high_interest_priority,1.0,0.019,0.093,0.074,0.074
Insurance,premiums_deductibles,1.0,0.37,0.444,0.074,0.074
Insurance,liability_coverage,1.0,0.0,0.056,0.056,0.056
Retirement,401k_employer_match,1.0,0.0,0.056,0.056,0.056
Investing,low_cost_diversified,1.0,0.0,0.056,0.056,0.056
CreditDebt,apr_interest_cost,1.0,0.0,0.056,0.056,0.056
CreditDebt,more_than_minimum,1.0,0.241,0.296,0.056,0.056
Insurance,life_insurance,1.0,0.0,0.037,0.037,0.037
CreditDebt,consolidation_transfer,1.0,0.074,0.093,0.019,0.019
Retirement,ira_roth,1.0,0.0,0.019,0.019,0.019
EmergencyFund,liquid_safe_account,1.0,0.0,0.0,0.0,0.0
CreditDebt,budgeting_spending,1.0,0.148,0.148,0.0,0.0
Insurance,disability_insurance,1.0,0.037,0.037,0.0,0.0
Investing,small_regular_dca,1.0,0.296,0.259,-0.037,-0.037
Investing,emergency_fund_first,1.0,0.167,0.111,-0.056,-0.056
EmergencyFund,dedicated_account,1.0,0.278,0.222,-0.056,-0.056
Tax,filing_status,1.0,0.352,0.296,-0.056,-0.056
Tax,illinois_state_tax,1.0,0.352,0.241,-0.111,-0.111
Retirement,consistent_contributions,1.0,0.278,0.148,-0.13,-0.13
Insurance,health_insurance,1.0,0.148,0.0,-0.148,-0.148
Tax,tax_credits,1.0,0.296,0.0,-0.296,-0.296
EmergencyFund,starter_goal_amount,1.0,0.593,0.056,-0.537,-0.537
