model,domain,ks_stat,ks_pvalue,cliffs_delta,magnitude,high_mean,low_mean
gpt-4o-mini,OVERALL,0.213,0.0147,0.1866,small,0.8707,0.8225
llama-3.3-70b-versatile,OVERALL,0.3426,0.0,0.4163,medium,0.8934,0.7604
gemini-3-flash-preview,OVERALL,0.2222,0.0095,0.2711,small,0.7803,0.6562
gpt-4o-mini,Retirement,0.4444,0.056,0.5864,large,0.7778,0.6128
gpt-4o-mini,CreditDebt,0.5556,0.0067,0.5926,large,0.9744,0.8462
gpt-4o-mini,Investing,0.3333,0.2754,0.3395,medium,0.877,0.8095
gpt-4o-mini,EmergencyFund,0.5,0.0207,-0.3025,small,0.873,0.9325
gpt-4o-mini,Insurance,0.0556,1.0,-0.0401,negligible,0.8889,0.8968
gpt-4o-mini,Tax,0.2222,0.781,0.0556,negligible,0.8333,0.8373
llama-3.3-70b-versatile,Retirement,0.6111,0.0018,0.8179,large,0.9231,0.6496
llama-3.3-70b-versatile,CreditDebt,0.4444,0.056,0.4321,medium,0.9573,0.8265
llama-3.3-70b-versatile,Investing,0.4444,0.056,0.5957,large,0.8968,0.6976
llama-3.3-70b-versatile,EmergencyFund,0.3889,0.1324,0.3735,medium,0.8492,0.7302
llama-3.3-70b-versatile,Insurance,0.1111,1.0,0.0278,negligible,0.8611,0.877
llama-3.3-70b-versatile,Tax,0.2778,0.5026,0.2932,small,0.873,0.7817
gemini-3-flash-preview,Retirement,0.6111,0.0018,0.6852,large,0.8205,0.5167
gemini-3-flash-preview,CreditDebt,0.1667,0.9715,-0.0802,negligible,0.7906,0.7564
gemini-3-flash-preview,Investing,0.2222,0.781,0.2006,small,0.6746,0.572
gemini-3-flash-preview,EmergencyFund,0.5556,0.0067,0.6265,large,0.7887,0.6389
gemini-3-flash-preview,Insurance,0.3333,0.2754,0.2037,small,0.8532,0.7841
gemini-3-flash-preview,Tax,0.2778,0.5026,0.1914,small,0.754,0.669
