question,model,high_mean,low_mean,gap,cohens_d,mw_pvalue,sig
Retirement,gpt-4o-mini,0.7778,0.6128,0.165,1.2045,0.0017,True
Retirement,llama-3.3-70b-versatile,0.9231,0.6496,0.2735,1.8263,0.0,True
Retirement,gemini-3-flash-preview,0.8205,0.5167,0.3038,1.4931,0.0003,True
CreditDebt,gpt-4o-mini,0.9744,0.8462,0.1282,1.313,0.0007,True
CreditDebt,llama-3.3-70b-versatile,0.9573,0.8265,0.1307,0.7886,0.0117,True
CreditDebt,gemini-3-flash-preview,0.7906,0.7564,0.0342,0.1469,0.6841,False
Investing,gpt-4o-mini,0.877,0.8095,0.0675,0.5463,0.0678,False
Investing,llama-3.3-70b-versatile,0.8968,0.6976,0.1992,1.1622,0.0014,True
Investing,gemini-3-flash-preview,0.6746,0.572,0.1026,0.4584,0.3018,False
EmergencyFund,gpt-4o-mini,0.873,0.9325,-0.0595,-0.7215,0.0967,False
EmergencyFund,llama-3.3-70b-versatile,0.8492,0.7302,0.119,0.7125,0.0501,False
EmergencyFund,gemini-3-flash-preview,0.7887,0.6389,0.1498,0.8543,0.0009,True
Insurance,gpt-4o-mini,0.8889,0.8968,-0.0079,-0.0645,0.8344,False
Insurance,llama-3.3-70b-versatile,0.8611,0.877,-0.0159,-0.0878,0.8868,False
Insurance,gemini-3-flash-preview,0.8532,0.7841,0.0691,0.382,0.286,False
Tax,gpt-4o-mini,0.8333,0.8373,-0.004,-0.0306,0.7793,False
Tax,llama-3.3-70b-versatile,0.873,0.7817,0.0913,0.5504,0.1205,False
Tax,gemini-3-flash-preview,0.754,0.669,0.0849,0.3885,0.3274,False
